x,y,z
0,1.685522,4.153284
0.26995,1.983615,4.198767
0.537477,2.288911,4.246822
0.803304,2.602981,4.298467
1.068605,2.927537,4.354918
1.33521,3.264479,4.417626
1.372022,3.667445,4.53372
-4.385462,-0.241275,3.207761
-4.003152,0,3.334671
-4.003497,0.248536,3.337006
-4.004529,0.500338,3.344141
-4.005611,0.758048,3.356644
-4.053401,1.076092,3.363778
-2.972134,1.97569,3.807159
-2.592986,1.937889,3.893834
-2.274676,1.948991,3.964501
-1.966821,1.958306,4.024259
-1.668218,1.965906,4.074054
-1.377631,1.971939,4.114729
-1.093813,1.976572,4.147005
-0.81548,1.97997,4.171477
-0.541311,1.982278,4.188619
-0.26995,1.983615,4.198767
0,1.983952,4.20211
0.267982,2.290192,4.2568
0.532827,2.604998,4.314961
0.795329,2.93015,4.37789
1.05693,3.267572,4.447135
-4.436787,0.7943,3.210424
-4.38778,0.487378,3.213524
-4.385462,0.241275,3.207761
-4.384513,0,3.205957
-4.783649,-0.229955,3.064463
-5.242138,-0.256981,2.890929
-2.632864,2.294086,3.951818
-2.264992,2.255373,4.024053
-1.95742,2.264903,4.083796
-1.659335,2.272648,4.133422
-1.369567,2.278731,4.173821
-1.086876,2.283342,4.205777
-0.809967,2.286675,4.229939
-0.537477,2.288911,4.246822
-0.267982,2.290192,4.2568
0,2.290508,4.260081
0.26559,2.606126,4.324688
0.527227,2.931773,4.393823
0.785834,3.269476,4.469109
1.043277,3.621466,4.5525
1.07991,4.037908,4.683605
-4.832767,0.521356,3.053054
-4.783649,0.229955,3.064463
-4.781183,4.44E-09,3.063668
-2.303479,2.622102,4.096094
-1.946131,2.582031,4.154243
-1.648703,2.589638,4.203451
-1.359895,2.595534,4.243353
-1.078526,2.599902,4.274787
-0.803303,2.602981,4.298467
-0.532827,2.604998,4.314961
-0.26559,2.606126,4.324688
0,2.60639,4.32788
0.262698,2.932641,4.403189
0.52049,3.270502,4.484254
0.774512,3.622295,4.573076
-5.242137,0.256981,2.890929
-5.189791,1.36E-08,2.909705
-5.665969,1.38E-08,2.723279
-1.98368,2.960059,4.240694
-1.636214,2.918228,4.285167
-1.348482,2.923645,4.324268
-1.068605,2.927537,4.354918
-0.79533,2.93015,4.37789
-0.527227,2.931773,4.393823
-0.262698,2.932641,4.403189
0,2.932816,4.406254
0.259194,3.270969,4.493113
0.512324,3.622463,4.587132
0.76087,3.990057,4.690787
0.796851,4.420374,4.836733
-1.673245,3.308348,4.386329
-1.33521,3.264479,4.417626
-1.05693,3.267572,4.447135
-0.785834,3.269476,4.469109
-0.52049,3.270502,4.484254
-0.259194,3.270969,4.493113
0,3.271006,4.496001
0.254896,3.622345,4.59529
0.502197,3.988952,4.703331
-1.372022,3.667445,4.53372
-1.043276,3.621466,4.5525
-0.774512,3.622295,4.573077
-0.512324,3.622463,4.587132
-0.254896,3.622345,4.59529
0,3.622175,4.597932
0.249456,3.987976,4.71051
0.489031,4.371325,4.833658
0.522777,4.815567,4.993871
-1.07991,4.037908,4.683605
-0.76087,3.990057,4.690787
-0.502197,3.988952,4.703331
-0.249456,3.987976,4.71051
0,3.987483,4.712806
0.242079,4.368983,4.839436
-0.796851,4.420374,4.836733
-0.489031,4.371325,4.833658
-0.242079,4.368983,4.839436
0,4.367915,4.841206
0.230612,4.766413,4.982466
0.25748,5.224305,5.155779
-0.522777,4.815567,4.993871
-0.230612,4.766413,4.982466
0,4.763773,4.983201
-0.25748,5.224305,5.155779
0,5.171863,5.136969
0,5.64774,5.323279
