x,y,z
1.980893,1.091406,3.877489
2.288278,1.084507,3.818605
2.605449,1.076205,3.749468
-0.547643,1.109502,4.042127
-0.824527,1.107697,4.024729
-0.273209,1.110558,4.05246
0,1.110906,4.055887
-1.105079,1.105081,3.999994
-1.390516,1.101566,3.967547
-1.682048,1.097048,3.926907
-1.980893,1.091406,3.877489
-2.288278,1.084507,3.818605
-2.605449,1.076206,3.749468
4.42858,-0.795576,3.186844
3.997834,-0.759459,3.332927
3.629723,-0.511314,3.436763
3.277666,-0.258663,3.53096
2.939038,0,3.61795
2.938769,0.262143,3.621033
2.937906,0.526113,3.630378
2.936291,0.793649,3.646277
2.933686,1.066348,3.6692
3.99674,-0.501267,3.320403
3.629588,-0.254397,3.428627
3.277792,0,3.528052
3.277666,0.258663,3.53096
3.277208,0.519422,3.539798
3.276198,0.784219,3.554909
3.274318,1.054759,3.576833
-3.997834,-0.759459,3.332927
-4.42858,-0.795576,3.186844
-3.629723,-0.511314,3.436763
-3.277666,-0.258663,3.53096
-2.939038,0,3.61795
-2.938769,0.262143,3.621033
-2.937906,0.526113,3.630378
-2.936291,0.793649,3.646277
-2.933686,1.066348,3.6692
-3.99674,-0.501267,3.320403
-3.629588,-0.254397,3.428627
-3.277792,0,3.528052
-3.277666,0.258663,3.53096
-3.277208,0.519422,3.539798
-3.276198,0.784219,3.554909
-3.274318,1.054759,3.576833
1.386436,1.386437,3.999994
1.677586,1.381182,3.959288
1.101565,1.390517,4.03244
0.821738,1.393546,4.057141
0.545707,1.395631,4.074497
0.272218,1.396849,4.084795
1.976246,1.374615,3.909699
2.283659,1.366592,3.850495
2.601079,1.356976,3.780838
2.929805,1.34564,3.699785
3.271194,1.332481,3.606293
-0.821738,1.393546,4.057141
-1.101565,1.390517,4.03244
-0.545707,1.395631,4.074497
-0.272218,1.396849,4.084795
0,1.397249,4.08821
-1.386436,1.386437,3.999994
-1.677586,1.381182,3.959288
-1.976246,1.374615,3.909699
-2.283659,1.366592,3.850495
-2.601079,1.356976,3.780838
-2.929805,1.34564,3.699785
-3.271194,1.332481,3.606293
4.824167,-0.522066,3.029591
4.379552,-0.488205,3.189931
3.995736,-0.248996,3.313246
3.6295,0,3.425964
3.629588,0.254397,3.428627
3.629723,0.511314,3.436763
3.629584,0.772986,3.450783
3.628737,1.041225,3.471326
3.674674,1.369437,3.490069
3.315003,1.66996,3.637539
2.924343,1.632792,3.738823
2.595175,1.645175,3.820664
2.27756,1.655746,3.890817
1.970192,1.664585,3.950294
1.671814,1.671816,3.999995
1.38118,1.677586,4.0407
1.097047,1.682049,4.07308
0.818154,1.685349,4.097686
0.543221,1.687608,4.114953
0.270944,1.688923,4.125187
4.377223,-0.241678,3.184161
3.995317,0,3.310931
3.995736,0.248996,3.313246
3.99674,0.501267,3.320403
3.997834,0.759459,3.332927
4.045654,1.078001,3.340086
2.966096,1.979686,3.783231
2.587508,1.942011,3.869791
2.269788,1.953206,3.940348
1.962562,1.962564,3.999995
1.664582,1.970194,4.049695
1.374613,1.976249,4.090289
1.091406,1.980896,4.122499
0.813679,1.984302,4.146922
0.540114,1.986617,4.164027
4.42858,0.795576,3.186844
4.379552,0.488205,3.189931
4.377223,0.241678,3.184161
4.376214,0,3.182374
4.775031,-0.230283,3.040998
5.233221,-0.25723,2.867574
2.627483,2.298782,3.927859
2.260182,2.260183,3.999996
1.953205,2.26979,4.059643
1.655744,2.277561,4.109174
1.366591,2.28366,4.149494
1.084506,2.28828,4.181384
0.808196,2.291618,4.205496
4.824167,0.522066,3.029591
4.775031,0.230283,3.040998
4.772478,0,3.040233
2.298782,2.627484,4.072136
1.942009,2.587509,4.130202
1.645174,2.595178,4.179329
1.356975,2.60108,4.219152
1.076205,2.60545,4.250521
5.233222,0.25723,2.867574
5.180827,0,2.886368
5.656855,0,2.7
1.979685,2.966097,4.216765
1.63279,2.924345,4.26117
1.345638,2.929806,4.300207
1.669958,3.315004,4.362456
-4.379552,-0.488205,3.189931
-4.824167,-0.522066,3.029591
-3.995736,-0.248996,3.313246
-3.6295,0,3.425964
-3.629588,0.254397,3.428627
-3.629723,0.511314,3.436763
-3.629585,0.772986,3.450782
-3.628738,1.041225,3.471326
-3.674674,1.369437,3.490069
-3.315003,1.66996,3.637539
-2.924343,1.632792,3.738823
-2.595175,1.645175,3.820664
-2.27756,1.655746,3.890816
-1.970192,1.664585,3.950294
-1.671814,1.671816,3.999995
-1.38118,1.677586,4.0407
-1.097047,1.68205,4.07308
-0.818154,1.685349,4.097686
-0.543221,1.687608,4.114953
-0.270944,1.688923,4.125187
0,1.689355,4.128579
0.269352,1.987957,4.174154
0.5363,2.293857,4.222344
0.801572,2.608529,4.274151
1.066347,2.933688,4.330792
1.33248,3.271196,4.393701
1.369435,3.674674,4.509928
-4.377223,-0.241678,3.184161
-3.995317,0,3.310931
-3.995736,0.248996,3.313246
-3.99674,0.501267,3.320403
-3.997834,0.759459,3.332927
-4.045654,1.078001,3.340086
-2.966096,1.979686,3.783231
-2.587508,1.942011,3.869792
-2.269788,1.953206,3.940348
-1.962562,1.962564,3.999995
-1.664582,1.970194,4.049695
-1.374613,1.976249,4.090289
-1.091406,1.980896,4.122499
-0.813679,1.984302,4.146922
-0.540114,1.986617,4.164027
-0.269352,1.987957,4.174154
0,1.988395,4.177508
0.267395,2.295139,4.232302
0.531678,2.610543,4.290611
0.793648,2.936292,4.353714
1.054758,3.274318,4.423161
-4.42858,0.795576,3.186844
-4.379552,0.488205,3.189931
-4.377223,0.241678,3.184161
-4.376214,0,3.182374
-4.775031,-0.230283,3.040998
-5.233222,-0.25723,2.867574
-2.627482,2.298783,3.92786
-2.260182,2.260183,3.999996
-1.953205,2.26979,4.059643
-1.655744,2.277561,4.109174
-1.366591,2.28366,4.149494
-1.084506,2.28828,4.181384
-0.808196,2.291618,4.205496
-0.5363,2.293857,4.222344
-0.267395,2.295139,4.232302
0,2.295555,4.235596
0.265018,2.61167,4.300318
0.526112,2.937907,4.369613
0.784218,3.276199,4.445084
1.041224,3.628738,4.528669
1.078,4.045655,4.659912
-4.824167,0.522066,3.029591
-4.775031,0.230283,3.040998
-4.772478,0,3.040233
-2.298782,2.627484,4.072136
-1.942009,2.587509,4.130202
-1.645173,2.595178,4.179329
-1.356974,2.60108,4.219152
-1.076205,2.60545,4.250521
-0.801571,2.608529,4.274151
-0.531677,2.610543,4.290611
-0.265018,2.61167,4.300318
0,2.612032,4.303525
0.262143,2.93877,4.378959
0.519421,3.27721,4.460195
0.772985,3.629585,4.549212
-5.233221,0.25723,2.867574
-5.180827,0,2.886368
-5.656855,0,2.7
-1.979685,2.966097,4.216765
-1.63279,2.924345,4.261169
-1.345638,2.929806,4.300207
-1.066347,2.933688,4.330792
-0.793649,2.936292,4.353714
-0.526112,2.937907,4.369613
-0.262143,2.93877,4.378959
0,2.939039,4.382041
0.258663,3.277667,4.469033
0.511314,3.629724,4.563231
0.759458,3.997834,4.667069
0.795575,4.428581,4.813153
-1.669958,3.315004,4.362456
-1.33248,3.271196,4.393701
-1.054758,3.274318,4.423161
-0.784218,3.276199,4.445084
-0.519421,3.27721,4.460195
-0.258663,3.277667,4.469033
0,3.277792,4.47194
0.254396,3.629589,4.571367
0.501267,3.996741,4.679593
-1.369435,3.674674,4.509928
-1.041223,3.628738,4.528669
